RATE_TIME,AGENT_TOTAL_CLICK,AGENT_TOTAL_USER,WKST_FINISH_CNT,create_time
20220211,41300999,7494848,393,2022-2-12 10:29
20220212,41705146,7571038,185,2022-2-13 7:54
20220213,42038732,7635111,115,2022-2-14 7:38
20220214,45060352,7715377,512,2022-2-15 8:08
20220215,46268703,7842158,799,2022-2-16 3:53
20220216,46564823,7890729,667,2022-2-17 11:26
20220217,46891417,7937505,834,2022-2-18 8:28
20220218,47220967,7980617,870,2022-2-19 6:16
20220219,47398723,8016329,330,2022-2-20 6:02
20220220,47538806,8043600,160,2022-2-21 5:33
20220221,47849194,8089917,729,2022-2-22 5:37
20220222,48143168,8134675,785,2022-2-23 14:28
20220223,48413532,8173698,829,2022-2-24 6:00
20220224,48672737,8211320,879,2022-2-25 6:15
20220225,48962843,8249229,1105,2022-2-26 6:25
20220226,49186326,8281558,0,2022-2-27 6:37
20220227,49386254,8312175,232,2022-2-28 6:49
20220228,49744854,8350282,867,2022-3-1 7:18
20220301,50606540,8469306,786,2022-3-2 15:07
20220302,51416835,8565930,249,2022-3-3 6:02
20220303,52189146,8638190,174,2022-3-4 6:38
20220304,53034349,8692848,361,2022-3-5 6:49
20220305,53384893,8748561,75,2022-3-6 7:22
20220306,53824240,8804907,55,2022-3-7 6:32
20220307,54234305,8858107,2989,2022-3-8 16:09
20220308,54490805,8893089,2154,2022-3-9 8:18
20220309,55089466,8976770,4604,2022-3-10 7:39
20220310,55480736,9037592,5528,2022-3-11 7:13
20220311,55856132,9086946,4933,2022-3-12 6:47
20220312,56151905,9133543,1206,2022-3-13 6:42
20220313,56410756,9175370,1540,2022-3-14 6:37
20220314,56744415,9223445,5229,2022-3-15 6:51
20220315,57085827,9274201,7887,2022-3-16 7:14
20220316,57413808,9322254,6619,2022-3-17 5:59
20220317,57733027,9369396,6351,2022-3-18 6:00
20220318,58038309,9414960,5441,2022-3-19 5:42
20220319,58258986,9450966,337,2022-3-20 5:48
20220320,58511920,9475668,544,2022-3-21 6:32
20220321,59059711,9498849,5687,2022-3-22 5:58
20220322,59495831,9532663,4572,2022-3-23 5:53
20220323,59732980,9567006,5039,2022-3-24 5:45
20220324,59976874,9601055,4975,2022-3-25 5:59
20220325,60230252,9636169,2424,2022-3-26 6:00
20220326,60446538,9668247,526,2022-3-28 10:18
20220327,60362976,9659141,396,2022-3-28 7:01
20220328,60973244,9734320,2198,2022-3-29 5:54
20220329,61270560,9768350,4060,2022-3-30 6:31
20220330,61524365,9799351,3278,2022-3-31 7:05
20220331,61801144,9834441,4821,2022-4-1 6:15
20220401,62651907,9926945,3125,2022-4-2 7:25
20220402,63348314,9987300,1680,2022-4-3 5:58
20220403,63807261,10037398,300,2022-4-4 6:41
20220404,64188038,10082212,160,2022-4-5 7:48
20220405,64527189,10125716,125,2022-4-11 15:18
20220406,65089198,10180860,716,2022-4-7 5:50
20220407,65573693,10235542,662,2022-4-8 5:54
20220408,66019166,10287342,1564,2022-4-9 6:43
20220409,66310541,10325185,505,2022-4-11 14:53
20220410,66564102,10361924,260,2022-4-11 15:24
20220411,66932707,10406002,1791,2022-4-12 5:51
20220412,67318594,10447747,2147,2022-4-13 5:49
20220413,67631303,10485733,2837,2022-4-14 6:35
20220414,67941050,10524184,3645,2022-4-15 8:54
20220415,68225352,10562322,3453,2022-4-16 18:55
20220416,68430667,10590527,384,2022-4-17 5:54
20220417,68617761,10615905,221,2022-4-18 5:56
20220418,68920560,10649723,4276,2022-4-19 5:58
20220419,69162439,10681294,4829,2022-4-20 6:17
20220420,69435240,10712980,3100,2022-4-21 8:47
20220421,69670243,10744301,3404,2022-4-22 15:16
20220422,69900893,10774565,3824,2022-4-23 6:01
20220423,70079627,10800767,469,2022-4-24 5:48
20220424,70287397,10828278,4998,2022-4-25 6:20
20220425,70518348,10857577,5065,2022-4-26 6:42
20220426,70751603,10887444,5733,2022-4-27 8:14
20220427,71030781,10919850,3968,2022-4-28 13:02
20220428,71248529,10944821,4216,2022-4-29 10:02
20220429,72043523,11044785,1664,2022-4-30 6:29
20220430,72583518,11095105,385,2022-5-1 6:30
20220501,73035303,11152470,140,2022-5-2 13:21
20220502,73498790,11205890,395,2022-5-3 7:37
20220503,73906810,11261090,195,2022-5-4 8:39
20220504,74168723,11300703,195,2022-5-5 9:44
20220505,74691667,11386897,2024,2022-5-6 19:10
20220506,74980246,11454244,4514,2022-5-7 17:53
20220507,75440824,11513273,2776,2022-5-8 9:48
20220508,75719641,11558615,125,2022-5-9 6:02
20220509,76236857,11642529,2003,2022-5-10 6:34
20220510,76631543,11699200,1590,2022-5-11 10:10
20220511,76998178,11749497,1515,2022-5-12 6:17
20220512,77365792,11805276,2109,2022-5-13 8:10
20220513,77504206,11828642,1475,2022-5-14 6:04
20220514,77871652,11894890,533,2022-5-15 6:19
20220515,78069279,11927832,200,2022-5-16 6:24
20220516,78461567,11988464,1973,2022-5-17 6:34
20220517,78648794,12014722,2308,2022-5-18 6:50
20220518,79056352,12076521,1397,2022-5-19 6:08
20220519,79366337,12119351,2079,2022-5-20 6:26
20220520,79663892,12160855,1412,2022-5-21 7:35
20220521,79887377,12193189,275,2022-5-22 8:13
20220522,80066134,12220901,85,2022-5-23 6:38
20220523,80352485,12264816,704,2022-5-24 7:08
20220524,80630462,12303332,897,2022-5-25 7:03
20220525,80912411,12344093,2676,2022-5-26 14:29
20220526,81192074,12384063,1853,2022-5-27 6:34
20220527,81509802,12423933,1953,2022-5-28 6:23
20220528,81766641,12461396,290,2022-5-29 6:31
20220529,81886984,12478552,215,2022-5-30 6:53
20220530,82934107,12683537,2612,2022-5-31 19:44
20220531,84170243,12911665,1962,2022-6-1 8:31
20220601,84777595,12980658,2393,2022-6-2 7:50
20220602,85661340,13078967,1968,2022-6-3 7:17
20220603,86090323,13144874,180,2022-6-4 7:32
20220604,86571049,13213508,60,2022-6-5 7:46
20220605,86734429,13231807,29,2022-6-6 7:16
20220606,87493028,13330061,2487,2022-6-7 18:03
20220607,87875664,13387882,2535,2022-6-8 10:02
20220608,88354502,13451510,1806,2022-6-9 19:41
20220609,88720748,13498423,1594,2022-6-10 6:51
20220610,88986968,13540530,1534,2022-6-11 7:01
20220611,89280221,13587817,14,2022-6-12 14:22
20220612,89522901,13622969,105,2022-6-13 7:18
20220613,89774373,13656775,1580,2022-6-14 8:46
20220614,90093784,13696598,1399,2022-6-15 7:27
20220615,90406863,13739773,900,2022-6-16 6:54
20220616,90755301,13786293,1484,2022-6-17 7:04
20220617,91104845,13833163,654,2022-6-18 7:17
20220618,91274677,13859732,10,2022-6-19 6:58
20220619,91588722,13918484,90,2022-6-20 7:35
20220620,91925725,13968213,804,2022-6-21 8:49
20220621,92261398,14018032,1415,2022-6-22 9:36
20220622,92579850,14069405,909,2022-6-23 5:48
20220623,93045936,14156420,1112,2022-6-24 7:28
20220624,93412509,14225030,670,2022-6-25 8:18
20220625,93770877,14283288,610,2022-6-26 8:25
20220626,93876921,14303483,698,2022-6-27 7:48
20220627,94371671,14393119,801,2022-6-28 8:03
20220628,94896085,14469587,845,2022-6-29 9:15
20220629,95249577,14522334,879,2022-6-30 11:51
20220630,95636026,14572693,555,2022-7-1 9:01
20220701,96131288,14649494,507,2022-7-2 9:29
20220702,96228293,14666131,40,2022-7-3 8:30
20220703,96784127,14788739,5,2022-7-4 8:18
20220704,97329913,14875938,114,2022-7-5 7:01
20220705,97707746,14950250,59,2022-7-6 7:42
20220706,98093590,15055805,163,2022-7-7 19:58
20220707,99550331,15330009,110,2022-7-8 9:43
20220708,99884608,15381187,84,2022-7-9 7:41
20220709,100550764,15496734,0,2022-7-10 7:53
20220710,101028635,15582151,80,2022-7-11 7:41
20220711,101547367,15664028,17,2022-7-12 12:40
20220712,101980746,15739552,135,2022-7-13 6:55
20220713,102475827,15835095,60,2022-7-14 7:18
20220714,103063225,15929979,180,2022-7-15 7:13
20220715,103674433,16033742,140,2022-7-16 7:44
20220716,104151871,16118151,25,2022-7-17 8:25
20220717,104550213,16190885,10,2022-7-18 7:30
20220718,104997635,16260602,171,2022-7-19 8:02
20220719,105404851,16327485,321,2022-7-20 14:26
20220720,105834953,16391498,181,2022-7-21 10:41
20220721,106307430,16448830,312,2022-7-22 11:48
20220722,106575451,16496246,293,2022-7-23 6:46
20220723,106849966,16553082,70,2022-7-24 9:06
20220724,107244097,16622796,170,2022-7-25 16:46
20220725,107665467,16685867,1103,2022-7-26 7:14
20220726,108229881,16780742,585,2022-7-27 8:34
20220727,108970007,16878406,363,2022-7-28 7:42
