data_time,hyyhs_cnt,hyjzyhs_cnt,tgyhzs_cnt,data_update_time
20190329,15806.0,14490.0,601496.0,2020-1-19 0:21
20190330,10508.0,10017.0,604434.0,2020-1-19 0:24
20190331,9759.0,9275.0,606825.0,2020-1-19 0:27
20190401,17341.0,16284.0,611770.0,2020-1-19 0:31
20190402,21300.0,20225.0,617312.0,2020-1-19 0:34
20190403,24639.0,23640.0,623359.0,2020-1-19 0:37
20190404,24632.0,23449.0,628721.0,2020-1-19 0:40
20190405,12646.0,12055.0,630877.0,2020-1-19 0:43
20190406,12924.0,12345.0,632979.0,2020-1-19 0:47
20190407,11278.0,10765.0,634736.0,2020-1-19 0:50
20190408,19990.0,18953.0,641113.0,2020-1-19 0:53
20190409,22021.0,20935.0,647409.0,2020-1-19 0:56
20190410,22612.0,21513.0,685977.0,2020-1-19 1:00
20190411,16525.0,15387.0,693778.0,2020-1-19 1:03
20190412,28464.0,27267.0,704415.0,2020-1-19 1:07
20190413,13937.0,13287.0,709502.0,2020-1-19 1:11
20190414,13135.0,12493.0,713731.0,2020-1-19 1:14
20190415,24772.0,23484.0,724143.0,2020-1-19 1:18
20190416,28837.0,27421.0,734946.0,2020-1-19 1:21
20190417,24978.0,23674.0,745702.0,2020-1-19 1:25
20190418,25876.0,24470.0,757287.0,2020-1-19 1:28
20190419,23772.0,22159.0,758727.0,2020-1-19 1:32
20190420,13207.0,12287.0,770250.0,2020-1-19 1:37
20190421,13126.0,12178.0,778185.0,2020-1-19 1:42
20190422,21044.0,19482.0,787336.0,2020-1-19 1:47
20190423,20310.0,18786.0,794681.0,2020-1-19 1:50
20190424,22157.0,20607.0,801889.0,2020-1-19 1:54
20190425,13385.0,12381.0,808277.0,2020-1-19 1:57
20190426,19083.0,17731.0,814917.0,2020-1-19 2:00
20190427,11936.0,11123.0,818593.0,2020-1-19 2:04
20190428,23185.0,21773.0,826732.0,2020-1-19 2:10
20190429,24288.0,22741.0,836010.0,2020-1-19 2:18
20190430,26018.0,24542.0,843635.0,2020-1-19 2:22
20190501,16371.0,15488.0,847045.0,2020-1-19 2:26
20190502,23441.0,22254.0,851295.0,2020-1-19 2:30
20190503,29220.0,27896.0,856727.0,2020-1-19 2:34
20190504,29753.0,28275.0,861586.0,2020-1-19 2:37
20190505,41986.0,40002.0,874194.0,2020-1-19 2:40
20190506,43666.0,41319.0,886324.0,2020-1-19 2:44
20190507,39523.0,37348.0,897759.0,2020-1-19 2:47
20190508,36232.0,34147.0,910463.0,2020-1-19 2:51
20190509,41530.0,39436.0,925485.0,2020-1-19 2:54
20190510,38887.0,36810.0,938921.0,2020-1-19 2:58
20190511,24451.0,23091.0,946097.0,2020-1-19 3:01
20190512,24068.0,22802.0,951087.0,2020-1-19 3:06
20190513,43083.0,41015.0,964092.0,2020-1-19 3:10
20190514,46307.0,44088.0,981410.0,2020-1-19 3:13
20190515,54882.0,52262.0,1007167.0,2020-1-19 3:17
20190516,60581.0,57581.0,1047556.0,2020-1-19 3:20
20190517,74149.0,70161.0,1125102.0,2020-1-19 3:23
20190518,50371.0,47877.0,1169996.0,2020-1-19 3:27
20190519,50817.0,48555.0,1213450.0,2020-1-19 3:30
20190520,93802.0,89475.0,1319080.0,2020-1-19 3:33
20190521,111808.0,106118.0,1500333.0,2020-1-19 3:36
20190522,114862.0,108862.0,2208280.0,2020-1-19 3:40
20190523,126832.0,121042.0,2415538.0,2020-1-19 3:43
20190524,128697.0,122395.0,2624511.0,2020-1-19 3:46
20190525,91444.0,86754.0,2785863.0,2020-1-19 3:49
20190526,78989.0,74844.0,2913071.0,2020-1-19 3:52
20190527,159361.0,121142.0,3152803.0,2020-1-19 3:55
20190528,160980.0,153689.0,3391913.0,2020-1-19 3:59
20190529,157630.0,150528.0,3597909.0,2020-1-19 4:02
20190530,138805.0,132381.0,3754063.0,2020-1-19 4:06
20190531,122886.0,117510.0,3874881.0,2020-1-19 4:10
